housesize,rooms
0.20628792057363485,0.5
0.42691671263099834,0.5
0.15554329840044126,0.25
0.592388306674021,0.75
0.31246552675124106,0.75
0.18808604522890238,0.5
0.15857694429123,0.5
0.1456150027578599,0.5
0.1770546056260342,0.5
0.30005515719801434,0.75
0.3166023166023166,0.5
0.28626585769442914,0.5
1.0,1.0
0.11472697186982901,0.5
0.39933811362382793,0.75
0.12906784335355764,0.25
0.10590182018753447,0.5
0.48455598455598453,0.75
0.6009376723662438,0.75
0.2523441809156095,0.5
0.2857142857142857,0.25
0.20739106453392167,0.5
0.30612244897959184,0.75
0.8378378378378378,0.5
0.06839492553778267,0.5
0.16712630998345285,0.5
0.4616657473800331,0.5
0.37175951461665746,0.5
0.4922779922779923,0.5
0.2722007722007722,0.25
0.04081632653061224,0.0
0.32763375620518476,0.75
0.6301709873138445,0.5
0.2644787644787645,0.75
0.16133480419194704,0.5
0.10672917815774959,0.5
0.3530060672917816,0.75
0.9274682846111417,0.75
0.3612796469939327,0.75
0.22393822393822393,0.25
0.38223938223938225,0.5
0.47297297297297297,0.75
0.09597352454495311,0.5
0.0,0.25
0.27578599007170435,0.75
0.09680088251516823,0.5
